question,answer,instruction
What are the genres of Goyo?,"The genres of 'Goyo' are Drama, Romance, Comedy.",Answer the following question:
Who is the lead actor in Goyo?,The lead actor in 'Goyo' is Nicolas Furtado.,Answer the following question:
When was Goyo released?,"'Goyo' was released on June 27, 2024.",Answer the following question:
Who are the supporting actors in Goyo?,"The supporting actors in 'Goyo' are Nancy Duplaa, Soledad Villamil, Pablo Rago, Cecilia Roth, Diego Alonso, Milo Zeus Lis, Balthazar Murillo, Javier Linares, Graciana Urbani.",Answer the following question:
What is the rating of Goyo?,The rating of 'Goyo' is 6.828.,Answer the following question:
What is the movie Goyo about?,"The film titled 'Goyo' was released on June 27, 2024. It falls under the genres of Drama, Romance, Comedy. The film was directed by Marcos Carnevale and stars Nicolas Furtado, Nancy Duplaa, Soledad Villamil, Pablo Rago, Cecilia Roth, Diego Alonso, Milo Zeus Lis, Balthazar Murillo, Javier Linares, Graciana Urbani. The lead actor is Nicolas Furtado. Plot summary: A young autistic museum guide lives by a strict routine -- until he falls in love with his coworker and must confront a whirlwind of new, intense emotions.. It has received a rating of 6.828.",Answer the following question:
What is the plot of Twisters?,"The plot of 'Twisters' is about As storm season intensifies, the paths of former storm chaser Kate Carter and reckless social-media superstar Tyler Owens collide when terrifying phenomena never seen before are unleashed. The pair and their competing teams find themselves squarely in the paths of multiple storm systems converging over central Oklahoma in the fight of their lives..",Answer the following question:
Who are in the cast of Twisters?,"The cast of 'Twisters' includes Daisy Edgar-Jones, Glen Powell, Anthony Ramos, Brandon Perea, Maura Tierney, Harry Hadden-Paton, Sasha Lane, Daryl McCormack, Kiernan Shipka, Nik Dodani.",Answer the following question:
Who directed Twisters?,'Twisters' was directed by Lee Isaac Chung.,Answer the following question:
What are the genres of Twisters?,"The genres of 'Twisters' are Action, Adventure, Thriller.",Answer the following question:
Who is the lead actor in Twisters?,The lead actor in 'Twisters' is Daisy Edgar-Jones.,Answer the following question:
When was Twisters released?,"'Twisters' was released on July 10, 2024.",Answer the following question:
Who are the supporting actors in Twisters?,"The supporting actors in 'Twisters' are Glen Powell, Anthony Ramos, Brandon Perea, Maura Tierney, Harry Hadden-Paton, Sasha Lane, Daryl McCormack, Kiernan Shipka, Nik Dodani.",Answer the following question:
What is the rating of Twisters?,The rating of 'Twisters' is 7.4.,Answer the following question:
What is the movie Twisters about?,"The film titled 'Twisters' was released on July 10, 2024. It falls under the genres of Action, Adventure, Thriller. The film was directed by Lee Isaac Chung and stars Daisy Edgar-Jones, Glen Powell, Anthony Ramos, Brandon Perea, Maura Tierney, Harry Hadden-Paton, Sasha Lane, Daryl McCormack, Kiernan Shipka, Nik Dodani. The lead actor is Daisy Edgar-Jones. Plot summary: As storm season intensifies, the paths of former storm chaser Kate Carter and reckless social-media superstar Tyler Owens collide when terrifying phenomena never seen before are unleashed. The pair and their competing teams find themselves squarely in the paths of multiple storm systems converging over central Oklahoma in the fight of their lives.. It has received a rating of 7.4.",Answer the following question:
What is the plot of Civil War?,"The plot of 'Civil War' is about In the near future, a group of war journalists attempt to survive while reporting the truth as the United States stands on the brink of civil war..",Answer the following question:
Who are in the cast of Civil War?,"The cast of 'Civil War' includes Kirsten Dunst, Wagner Moura, Cailee Spaeny, Stephen McKinley Henderson, Nelson Lee, Nick Offerman, Jefferson White, Evan Lai, Vince Pisani, Justin James Boykin.",Answer the following question:
Who directed Civil War?,'Civil War' was directed by Alex Garland.,Answer the following question:
What are the genres of Civil War?,"The genres of 'Civil War' are War, Action, Drama.",Answer the following question:
Who is the lead actor in Civil War?,The lead actor in 'Civil War' is Kirsten Dunst.,Answer the following question:
When was Civil War released?,"'Civil War' was released on April 10, 2024.",Answer the following question:
Who are the supporting actors in Civil War?,"The supporting actors in 'Civil War' are Wagner Moura, Cailee Spaeny, Stephen McKinley Henderson, Nelson Lee, Nick Offerman, Jefferson White, Evan Lai, Vince Pisani, Justin James Boykin.",Answer the following question:
What is the rating of Civil War?,The rating of 'Civil War' is 6.986.,Answer the following question:
What is the movie Civil War about?,"The film titled 'Civil War' was released on April 10, 2024. It falls under the genres of War, Action, Drama. The film was directed by Alex Garland and stars Kirsten Dunst, Wagner Moura, Cailee Spaeny, Stephen McKinley Henderson, Nelson Lee, Nick Offerman, Jefferson White, Evan Lai, Vince Pisani, Justin James Boykin. The lead actor is Kirsten Dunst. Plot summary: In the near future, a group of war journalists attempt to survive while reporting the truth as the United States stands on the brink of civil war.. It has received a rating of 6.986.",Answer the following question:
What is the plot of Under Paris?,"The plot of 'Under Paris' is about In order to save Paris from an international bloodbath, a grieving scientist is forced to face her tragic past when a giant shark appears in the Seine..",Answer the following question:
Who are in the cast of Under Paris?,"The cast of 'Under Paris' includes Berenice Bejo, Nassim Lyes, Lea Leviant, Nagisa Morimoto, Anais Parello, Inaki Lartigue, Anne Marivin, Timi-Joy Marbot, Ricky Tribord, Aurelia Petit.",Answer the following question:
Who directed Under Paris?,'Under Paris' was directed by Xavier Gens.,Answer the following question:
What are the genres of Under Paris?,"The genres of 'Under Paris' are Thriller, Horror, Action, Mystery.",Answer the following question:
Who is the lead actor in Under Paris?,The lead actor in 'Under Paris' is Berenice Bejo.,Answer the following question:
When was Under Paris released?,"'Under Paris' was released on June 04, 2024.",Answer the following question:
Who are the supporting actors in Under Paris?,"The supporting actors in 'Under Paris' are Nassim Lyes, Lea Leviant, Nagisa Morimoto, Anais Parello, Inaki Lartigue, Anne Marivin, Timi-Joy Marbot, Ricky Tribord, Aurelia Petit.",Answer the following question:
What is the rating of Under Paris?,The rating of 'Under Paris' is 6.094.,Answer the following question:
What is the movie Under Paris about?,"The film titled 'Under Paris' was released on June 04, 2024. It falls under the genres of Thriller, Horror, Action, Mystery. The film was directed by Xavier Gens and stars Berenice Bejo, Nassim Lyes, Lea Leviant, Nagisa Morimoto, Anais Parello, Inaki Lartigue, Anne Marivin, Timi-Joy Marbot, Ricky Tribord, Aurelia Petit. The lead actor is Berenice Bejo. Plot summary: In order to save Paris from an international bloodbath, a grieving scientist is forced to face her tragic past when a giant shark appears in the Seine.. It has received a rating of 6.094.",Answer the following question:
What is the plot of Black Noise?,"The plot of 'Black Noise' is about Members of an elite security team deployed to rescue a VIP on an exclusive island.The rescue mission becomes a desperate attempt to survive, escape the island and elude the sinister presence that seeks to harm them..",Answer the following question:
Who are in the cast of Black Noise?,"The cast of 'Black Noise' includes Jackson Rathbone, Alex Pettyfer, Eve Mauro, Ashton Leigh, Wayne Gordon, Sadie Newman, Thomas Downey, Niki Spiridakos, Gene Freeman, Frank Corbie.",Answer the following question:
Who directed Black Noise?,'Black Noise' was directed by Philippe Martinez.,Answer the following question:
What are the genres of Black Noise?,"The genres of 'Black Noise' are Action, Science Fiction, Horror, Thriller.",Answer the following question:
Who is the lead actor in Black Noise?,The lead actor in 'Black Noise' is Jackson Rathbone.,Answer the following question:
When was Black Noise released?,"'Black Noise' was released on November 03, 2023.",Answer the following question:
Who are the supporting actors in Black Noise?,"The supporting actors in 'Black Noise' are Alex Pettyfer, Eve Mauro, Ashton Leigh, Wayne Gordon, Sadie Newman, Thomas Downey, Niki Spiridakos, Gene Freeman, Frank Corbie.",Answer the following question:
What is the rating of Black Noise?,The rating of 'Black Noise' is 5.278.,Answer the following question:
What is the movie Black Noise about?,"The film titled 'Black Noise' was released on November 03, 2023. It falls under the genres of Action, Science Fiction, Horror, Thriller. The film was directed by Philippe Martinez and stars Jackson Rathbone, Alex Pettyfer, Eve Mauro, Ashton Leigh, Wayne Gordon, Sadie Newman, Thomas Downey, Niki Spiridakos, Gene Freeman, Frank Corbie. The lead actor is Jackson Rathbone. Plot summary: Members of an elite security team deployed to rescue a VIP on an exclusive island.The rescue mission becomes a desperate attempt to survive, escape the island and elude the sinister presence that seeks to harm them.. It has received a rating of 5.278.",Answer the following question:
What is the plot of Boneyard?,"The plot of 'Boneyard' is about After Police Chief Carter discovers the remains of eleven women, FBI Special Agent Petrovick is recruited to profile the serial killer responsible for the infamous ""boneyard"" killings. As the police force, narcotics agency, and FBI lock horns, a tangled web of intrigue turns everyone into a suspect..",Answer the following question:
Who are in the cast of Boneyard?,"The cast of 'Boneyard' includes Mel Gibson, Nora Zehetner, Gabrielle Haugh, 50 Cent, Brian Van Holt, Spice Williams-Crosby, Weston Cage, Michael Sirow, Sean Patrick Bryan, Brenna Marie Narayan.",Answer the following question:
Who directed Boneyard?,'Boneyard' was directed by Asif Akbar.,Answer the following question:
What are the genres of Boneyard?,"The genres of 'Boneyard' are Action, Thriller.",Answer the following question:
Who is the lead actor in Boneyard?,The lead actor in 'Boneyard' is Mel Gibson.,Answer the following question:
When was Boneyard released?,"'Boneyard' was released on July 05, 2024.",Answer the following question:
Who are the supporting actors in Boneyard?,"The supporting actors in 'Boneyard' are Nora Zehetner, Gabrielle Haugh, 50 Cent, Brian Van Holt, Spice Williams-Crosby, Weston Cage, Michael Sirow, Sean Patrick Bryan, Brenna Marie Narayan.",Answer the following question:
What is the rating of Boneyard?,The rating of 'Boneyard' is 5.919.,Answer the following question:
What is the movie Boneyard about?,"The film titled 'Boneyard' was released on July 05, 2024. It falls under the genres of Action, Thriller. The film was directed by Asif Akbar and stars Mel Gibson, Nora Zehetner, Gabrielle Haugh, 50 Cent, Brian Van Holt, Spice Williams-Crosby, Weston Cage, Michael Sirow, Sean Patrick Bryan, Brenna Marie Narayan. The lead actor is Mel Gibson. Plot summary: After Police Chief Carter discovers the remains of eleven women, FBI Special Agent Petrovick is recruited to profile the serial killer responsible for the infamous ""boneyard"" killings. As the police force, narcotics agency, and FBI lock horns, a tangled web of intrigue turns everyone into a suspect.. It has received a rating of 5.919.",Answer the following question:
What is the plot of The Jack in the Box: Rises?,"The plot of 'The Jack in the Box: Rises' is about When a creepy Jack-in-the-Box is discovered and opened on the grounds of an exclusive girls' school, six brave students soon enter a fight to the finish against the unleashed demon..",Answer the following question:
Who are in the cast of The Jack in the Box: Rises?,"The cast of 'The Jack in the Box: Rises' includes Nicholas Anscombe, Isabella Colby Browne, Derek Nelson, Georgia Conlan, James Reynard, Leona Clarke, Georgina Jane, Oli Meredith.",Answer the following question:
Who directed The Jack in the Box: Rises?,'The Jack in the Box: Rises' was directed by Lawrence Fowler.,Answer the following question:
What are the genres of The Jack in the Box: Rises?,The genres of 'The Jack in the Box: Rises' are Horror.,Answer the following question:
Who is the lead actor in The Jack in the Box: Rises?,The lead actor in 'The Jack in the Box: Rises' is Nicholas Anscombe.,Answer the following question:
When was The Jack in the Box: Rises released?,"'The Jack in the Box: Rises' was released on January 18, 2024.",Answer the following question:
Who are the supporting actors in The Jack in the Box: Rises?,"The supporting actors in 'The Jack in the Box: Rises' are Isabella Colby Browne, Derek Nelson, Georgia Conlan, James Reynard, Leona Clarke, Georgina Jane, Oli Meredith.",Answer the following question:
What is the rating of The Jack in the Box: Rises?,The rating of 'The Jack in the Box: Rises' is 6.967.,Answer the following question:
What is the movie The Jack in the Box: Rises about?,"The film titled 'The Jack in the Box: Rises' was released on January 18, 2024. It falls under the genres of Horror. The film was directed by Lawrence Fowler and stars Nicholas Anscombe, Isabella Colby Browne, Derek Nelson, Georgia Conlan, James Reynard, Leona Clarke, Georgina Jane, Oli Meredith. The lead actor is Nicholas Anscombe. Plot summary: When a creepy Jack-in-the-Box is discovered and opened on the grounds of an exclusive girls' school, six brave students soon enter a fight to the finish against the unleashed demon.. It has received a rating of 6.967.",Answer the following question:
What is the plot of A Quiet Place: Day One?,"The plot of 'A Quiet Place: Day One' is about As New York City is invaded by alien creatures who hunt by sound, a woman named Sam fights to survive with her cat..",Answer the following question:
Who are in the cast of A Quiet Place: Day One?,"The cast of 'A Quiet Place: Day One' includes Lupita Nyong'o, Joseph Quinn, Alex Wolff, Djimon Hounsou, Eliane Umuhire, Takunda Khumalo, Alfie Todd, Avy-Berry Worrall, Ronnie Le Drew, Benjamin Wong.",Answer the following question:
Who directed A Quiet Place: Day One?,'A Quiet Place: Day One' was directed by Michael Sarnoski.,Answer the following question:
What are the genres of A Quiet Place: Day One?,"The genres of 'A Quiet Place: Day One' are Horror, Science Fiction, Thriller.",Answer the following question:
Who is the lead actor in A Quiet Place: Day One?,The lead actor in 'A Quiet Place: Day One' is Lupita Nyong'o.,Answer the following question:
When was A Quiet Place: Day One released?,"'A Quiet Place: Day One' was released on June 26, 2024.",Answer the following question:
Who are the supporting actors in A Quiet Place: Day One?,"The supporting actors in 'A Quiet Place: Day One' are Joseph Quinn, Alex Wolff, Djimon Hounsou, Eliane Umuhire, Takunda Khumalo, Alfie Todd, Avy-Berry Worrall, Ronnie Le Drew, Benjamin Wong.",Answer the following question:
What is the rating of A Quiet Place: Day One?,The rating of 'A Quiet Place: Day One' is 6.9.,Answer the following question:
What is the movie A Quiet Place: Day One about?,"The film titled 'A Quiet Place: Day One' was released on June 26, 2024. It falls under the genres of Horror, Science Fiction, Thriller. The film was directed by Michael Sarnoski and stars Lupita Nyong'o, Joseph Quinn, Alex Wolff, Djimon Hounsou, Eliane Umuhire, Takunda Khumalo, Alfie Todd, Avy-Berry Worrall, Ronnie Le Drew, Benjamin Wong. The lead actor is Lupita Nyong'o. Plot summary: As New York City is invaded by alien creatures who hunt by sound, a woman named Sam fights to survive with her cat.. It has received a rating of 6.9.",Answer the following question:
What is the plot of Inside Out?,"The plot of 'Inside Out' is about When 11-year-old Riley moves to a new city, her Emotions team up to help her through the transition. Joy, Fear, Anger, Disgust and Sadness work together, but when Joy and Sadness get lost, they must journey through unfamiliar places to get back home..",Answer the following question:
Who are in the cast of Inside Out?,"The cast of 'Inside Out' includes Amy Poehler, Phyllis Smith, Richard Kind, Bill Hader, Lewis Black, Mindy Kaling, Kaitlyn Dias, Diane Lane, Kyle MacLachlan, Paula Poundstone.",Answer the following question:
Who directed Inside Out?,'Inside Out' was directed by Pete Docter.,Answer the following question:
What are the genres of Inside Out?,"The genres of 'Inside Out' are Animation, Family, Adventure, Drama, Comedy.",Answer the following question:
Who is the lead actor in Inside Out?,The lead actor in 'Inside Out' is Amy Poehler.,Answer the following question:
When was Inside Out released?,"'Inside Out' was released on June 17, 2015.",Answer the following question:
Who are the supporting actors in Inside Out?,"The supporting actors in 'Inside Out' are Phyllis Smith, Richard Kind, Bill Hader, Lewis Black, Mindy Kaling, Kaitlyn Dias, Diane Lane, Kyle MacLachlan, Paula Poundstone.",Answer the following question:
What is the rating of Inside Out?,The rating of 'Inside Out' is 7.916.,Answer the following question:
What is the movie Inside Out about?,"The film titled 'Inside Out' was released on June 17, 2015. It falls under the genres of Animation, Family, Adventure, Drama, Comedy. The film was directed by Pete Docter and stars Amy Poehler, Phyllis Smith, Richard Kind, Bill Hader, Lewis Black, Mindy Kaling, Kaitlyn Dias, Diane Lane, Kyle MacLachlan, Paula Poundstone. The lead actor is Amy Poehler. Plot summary: When 11-year-old Riley moves to a new city, her Emotions team up to help her through the transition. Joy, Fear, Anger, Disgust and Sadness work together, but when Joy and Sadness get lost, they must journey through unfamiliar places to get back home.. It has received a rating of 7.916.",Answer the following question:
What is the plot of Trigger Warning?,The plot of 'Trigger Warning' is about A Special Forces commando uncovers a dangerous conspiracy when she returns to her hometown looking for answers into her beloved father's death..,Answer the following question:
Who are in the cast of Trigger Warning?,"The cast of 'Trigger Warning' includes Jessica Alba, Anthony Michael Hall, Tone Bell, Mark Webber, Jake Weary, Gabriel Basso, Kaiwi Lyman, Hari Dhillon, Alejandro De Hoyos, Nadiv Molcho.",Answer the following question:
Who directed Trigger Warning?,'Trigger Warning' was directed by Mouly Surya.,Answer the following question:
What are the genres of Trigger Warning?,"The genres of 'Trigger Warning' are Action, Crime, Thriller.",Answer the following question:
Who is the lead actor in Trigger Warning?,The lead actor in 'Trigger Warning' is Jessica Alba.,Answer the following question:
When was Trigger Warning released?,"'Trigger Warning' was released on June 20, 2024.",Answer the following question:
Who are the supporting actors in Trigger Warning?,"The supporting actors in 'Trigger Warning' are Anthony Michael Hall, Tone Bell, Mark Webber, Jake Weary, Gabriel Basso, Kaiwi Lyman, Hari Dhillon, Alejandro De Hoyos, Nadiv Molcho.",Answer the following question:
What is the rating of Trigger Warning?,The rating of 'Trigger Warning' is 5.837.,Answer the following question:
What is the movie Trigger Warning about?,"The film titled 'Trigger Warning' was released on June 20, 2024. It falls under the genres of Action, Crime, Thriller. The film was directed by Mouly Surya and stars Jessica Alba, Anthony Michael Hall, Tone Bell, Mark Webber, Jake Weary, Gabriel Basso, Kaiwi Lyman, Hari Dhillon, Alejandro De Hoyos, Nadiv Molcho. The lead actor is Jessica Alba. Plot summary: A Special Forces commando uncovers a dangerous conspiracy when she returns to her hometown looking for answers into her beloved father's death.. It has received a rating of 5.837.",Answer the following question:
What is the plot of Kung Fu Panda 4?,"The plot of 'Kung Fu Panda 4' is about Po is gearing up to become the spiritual leader of his Valley of Peace, but also needs someone to take his place as Dragon Warrior. As such, he will train a new kung fu practitioner for the spot and will encounter a villain called the Chameleon who conjures villains from the past..",Answer the following question:
Who are in the cast of Kung Fu Panda 4?,"The cast of 'Kung Fu Panda 4' includes Jack Black, Awkwafina, Viola Davis, Dustin Hoffman, Bryan Cranston, James Hong, Ian McShane, Ke Huy Quan, Ronny Chieng, Lori Tan Chinn.",Answer the following question:
Who directed Kung Fu Panda 4?,'Kung Fu Panda 4' was directed by Mike Mitchell.,Answer the following question:
What are the genres of Kung Fu Panda 4?,"The genres of 'Kung Fu Panda 4' are Animation, Family, Fantasy.",Answer the following question:
Who is the lead actor in Kung Fu Panda 4?,The lead actor in 'Kung Fu Panda 4' is Jack Black.,Answer the following question:
When was Kung Fu Panda 4 released?,"'Kung Fu Panda 4' was released on March 02, 2024.",Answer the following question:
Who are the supporting actors in Kung Fu Panda 4?,"The supporting actors in 'Kung Fu Panda 4' are Awkwafina, Viola Davis, Dustin Hoffman, Bryan Cranston, James Hong, Ian McShane, Ke Huy Quan, Ronny Chieng, Lori Tan Chinn.",Answer the following question:
What is the rating of Kung Fu Panda 4?,The rating of 'Kung Fu Panda 4' is 7.14.,Answer the following question:
What is the movie Kung Fu Panda 4 about?,"The film titled 'Kung Fu Panda 4' was released on March 02, 2024. It falls under the genres of Animation, Family, Fantasy. The film was directed by Mike Mitchell and stars Jack Black, Awkwafina, Viola Davis, Dustin Hoffman, Bryan Cranston, James Hong, Ian McShane, Ke Huy Quan, Ronny Chieng, Lori Tan Chinn. The lead actor is Jack Black. Plot summary: Po is gearing up to become the spiritual leader of his Valley of Peace, but also needs someone to take his place as Dragon Warrior. As such, he will train a new kung fu practitioner for the spot and will encounter a villain called the Chameleon who conjures villains from the past.. It has received a rating of 7.14.",Answer the following question:
What is the plot of In a Violent Nature?,"The plot of 'In a Violent Nature' is about The enigmatic resurrection, rampage, and retribution of an undead monster in a remote wilderness unleashes an iconic new killer after a locket is removed from a collapsed fire tower that entombed its rotting corpse..",Answer the following question:
Who are in the cast of In a Violent Nature?,"The cast of 'In a Violent Nature' includes Ry Barrett, Andrea Pavlovic, Cameron Love, Reece Presley, Liam Leone, Charlotte Creaghan, Lea Rose Sebastianis, Sam Roulston, Alexander Oliver, Timothy Paul McCarthy.",Answer the following question:
Who directed In a Violent Nature?,'In a Violent Nature' was directed by Chris Nash.,Answer the following question:
What are the genres of In a Violent Nature?,"The genres of 'In a Violent Nature' are Horror, Thriller.",Answer the following question:
Who is the lead actor in In a Violent Nature?,The lead actor in 'In a Violent Nature' is Ry Barrett.,Answer the following question:
When was In a Violent Nature released?,"'In a Violent Nature' was released on May 31, 2024.",Answer the following question:
Who are the supporting actors in In a Violent Nature?,"The supporting actors in 'In a Violent Nature' are Andrea Pavlovic, Cameron Love, Reece Presley, Liam Leone, Charlotte Creaghan, Lea Rose Sebastianis, Sam Roulston, Alexander Oliver, Timothy Paul McCarthy.",Answer the following question:
What is the rating of In a Violent Nature?,The rating of 'In a Violent Nature' is 5.8.,Answer the following question:
What is the movie In a Violent Nature about?,"The film titled 'In a Violent Nature' was released on May 31, 2024. It falls under the genres of Horror, Thriller. The film was directed by Chris Nash and stars Ry Barrett, Andrea Pavlovic, Cameron Love, Reece Presley, Liam Leone, Charlotte Creaghan, Lea Rose Sebastianis, Sam Roulston, Alexander Oliver, Timothy Paul McCarthy. The lead actor is Ry Barrett. Plot summary: The enigmatic resurrection, rampage, and retribution of an undead monster in a remote wilderness unleashes an iconic new killer after a locket is removed from a collapsed fire tower that entombed its rotting corpse.. It has received a rating of 5.8.",Answer the following question:
What is the plot of The Infallibles?,"The plot of 'The Infallibles' is about When a gang of robbers provokes chaos in Paris and humiliates the police, the Minister of the Interior wants new blood at the helm of the investigation: Alia is from Marseille, fiery-tempered and unmanageable, Hugo is Parisian, valedictorian and meticulous. In short, they have every reason to hate each other. A forced alliance, for better or for worse, or maybe blossoming into something else?.",Answer the following question:
Who are in the cast of The Infallibles?,"The cast of 'The Infallibles' includes Ines Reg, Kevin Debonne, Vincent Rottiers, Moussa Maaskri, Francois Neycken, Pierre Olivier, Hugo Gonzalez, Daphne Huynh, Loriane Klupsch, Adele Sierra.",Answer the following question:
Who directed The Infallibles?,'The Infallibles' was directed by Frederic Forestier.,Answer the following question:
What are the genres of The Infallibles?,"The genres of 'The Infallibles' are Comedy, Action.",Answer the following question:
Who is the lead actor in The Infallibles?,The lead actor in 'The Infallibles' is Ines Reg.,Answer the following question:
When was The Infallibles released?,"'The Infallibles' was released on June 20, 2024.",Answer the following question:
Who are the supporting actors in The Infallibles?,"The supporting actors in 'The Infallibles' are Kevin Debonne, Vincent Rottiers, Moussa Maaskri, Francois Neycken, Pierre Olivier, Hugo Gonzalez, Daphne Huynh, Loriane Klupsch, Adele Sierra.",Answer the following question:
What is the rating of The Infallibles?,The rating of 'The Infallibles' is 5.844.,Answer the following question:
What is the movie The Infallibles about?,"The film titled 'The Infallibles' was released on June 20, 2024. It falls under the genres of Comedy, Action. The film was directed by Frederic Forestier and stars Ines Reg, Kevin Debonne, Vincent Rottiers, Moussa Maaskri, Francois Neycken, Pierre Olivier, Hugo Gonzalez, Daphne Huynh, Loriane Klupsch, Adele Sierra. The lead actor is Ines Reg. Plot summary: When a gang of robbers provokes chaos in Paris and humiliates the police, the Minister of the Interior wants new blood at the helm of the investigation: Alia is from Marseille, fiery-tempered and unmanageable, Hugo is Parisian, valedictorian and meticulous. In short, they have every reason to hate each other. A forced alliance, for better or for worse, or maybe blossoming into something else?. It has received a rating of 5.844.",Answer the following question:
What is the plot of MR-9: Do or Die?,The plot of 'MR-9: Do or Die' is about Masud Rana is a Secret Agent with code name MR-9 of the Bangladesh Counter Intelligence Agency.,Answer the following question:
Who are in the cast of MR-9: Do or Die?,"The cast of 'MR-9: Do or Die' includes Frank Grillo, Michael Jai White, Kelly Greyson, Matt Passmore, Sakshi Pradhan, Omi Vaidya, James Moses Black, Dave Kumar, ABM Sumon, Oleg Prudius.",Answer the following question:
Who directed MR-9: Do or Die?,'MR-9: Do or Die' was directed by Asif Akbar.,Answer the following question:
What are the genres of MR-9: Do or Die?,"The genres of 'MR-9: Do or Die' are Action, Drama, Thriller.",Answer the following question:
Who is the lead actor in MR-9: Do or Die?,The lead actor in 'MR-9: Do or Die' is Frank Grillo.,Answer the following question:
When was MR-9: Do or Die released?,"'MR-9: Do or Die' was released on August 25, 2023.",Answer the following question:
Who are the supporting actors in MR-9: Do or Die?,"The supporting actors in 'MR-9: Do or Die' are Michael Jai White, Kelly Greyson, Matt Passmore, Sakshi Pradhan, Omi Vaidya, James Moses Black, Dave Kumar, ABM Sumon, Oleg Prudius.",Answer the following question:
What is the rating of MR-9: Do or Die?,The rating of 'MR-9: Do or Die' is 6.437.,Answer the following question:
What is the movie MR-9: Do or Die about?,"The film titled 'MR-9: Do or Die' was released on August 25, 2023. It falls under the genres of Action, Drama, Thriller. The film was directed by Asif Akbar and stars Frank Grillo, Michael Jai White, Kelly Greyson, Matt Passmore, Sakshi Pradhan, Omi Vaidya, James Moses Black, Dave Kumar, ABM Sumon, Oleg Prudius. The lead actor is Frank Grillo. Plot summary: Masud Rana is a Secret Agent with code name MR-9 of the Bangladesh Counter Intelligence Agency. It has received a rating of 6.437.",Answer the following question:
What is the plot of Horizon: An American Saga - Chapter 1?,"The plot of 'Horizon: An American Saga - Chapter 1' is about Follow the story of how the Old West was won--and lost--through the blood, sweat and tears of many. Spanning 15 years before, during and following the Civil War from 1859 to 1874, embark on an emotional journey across a country at war with itself, experienced through the lens of families, friends and foes all attempting to discover what it truly means to be the United States of America..",Answer the following question:
Who are in the cast of Horizon: An American Saga - Chapter 1?,"The cast of 'Horizon: An American Saga - Chapter 1' includes Kevin Costner, Sienna Miller, Sam Worthington, Jena Malone, Abbey Lee, Michael Rooker, Danny Huston, Luke Wilson, Ella Hunt, Tatanka Means.",Answer the following question:
Who directed Horizon: An American Saga - Chapter 1?,'Horizon: An American Saga - Chapter 1' was directed by Kevin Costner.,Answer the following question:
What are the genres of Horizon: An American Saga - Chapter 1?,"The genres of 'Horizon: An American Saga - Chapter 1' are Western, Drama.",Answer the following question:
Who is the lead actor in Horizon: An American Saga - Chapter 1?,The lead actor in 'Horizon: An American Saga - Chapter 1' is Kevin Costner.,Answer the following question:
When was Horizon: An American Saga - Chapter 1 released?,"'Horizon: An American Saga - Chapter 1' was released on June 26, 2024.",Answer the following question:
Who are the supporting actors in Horizon: An American Saga - Chapter 1?,"The supporting actors in 'Horizon: An American Saga - Chapter 1' are Sienna Miller, Sam Worthington, Jena Malone, Abbey Lee, Michael Rooker, Danny Huston, Luke Wilson, Ella Hunt, Tatanka Means.",Answer the following question:
What is the rating of Horizon: An American Saga - Chapter 1?,The rating of 'Horizon: An American Saga - Chapter 1' is 7.1.,Answer the following question:
What is the movie Horizon: An American Saga - Chapter 1 about?,"The film titled 'Horizon: An American Saga - Chapter 1' was released on June 26, 2024. It falls under the genres of Western, Drama. The film was directed by Kevin Costner and stars Kevin Costner, Sienna Miller, Sam Worthington, Jena Malone, Abbey Lee, Michael Rooker, Danny Huston, Luke Wilson, Ella Hunt, Tatanka Means. The lead actor is Kevin Costner. Plot summary: Follow the story of how the Old West was won--and lost--through the blood, sweat and tears of many. Spanning 15 years before, during and following the Civil War from 1859 to 1874, embark on an emotional journey across a country at war with itself, experienced through the lens of families, friends and foes all attempting to discover what it truly means to be the United States of America.. It has received a rating of 7.1.",Answer the following question:
What is the plot of The Last Kumite?,"The plot of 'The Last Kumite' is about When Karate champion Michael Rivers wins the last tournament of his career, shady businessman Ron Hall offers him the opportunity to fight in an illegal Kumite in Bulgaria against the world's best martial artists.  When Michael declines, Hall has his daughter kidnapped and, in order to rescue her, Rivers is left with no choice but to compete in the deadly tournament. Arriving in Bulgaria, he finds out that he is not the only fighter whose loved one was taken. Rivers enlists the help of trainers Master Loren, and Julie Jackson but will it be enough for him to win the tournament and save his daughter's life?.",Answer the following question:
Who are in the cast of The Last Kumite?,"The cast of 'The Last Kumite' includes Mathis Landwehr, Kurt McKinney, Billy Blanks, Matthias Hues, Cynthia Rothrock, Michel Qissi, David Kurzhal, Monia Moula, Mike Derudder, Abdel Qissi.",Answer the following question:
Who directed The Last Kumite?,'The Last Kumite' was directed by Ross W. Clarkson.,Answer the following question:
What are the genres of The Last Kumite?,The genres of 'The Last Kumite' are Action.,Answer the following question:
Who is the lead actor in The Last Kumite?,The lead actor in 'The Last Kumite' is Mathis Landwehr.,Answer the following question:
When was The Last Kumite released?,"'The Last Kumite' was released on May 09, 2024.",Answer the following question:
Who are the supporting actors in The Last Kumite?,"The supporting actors in 'The Last Kumite' are Kurt McKinney, Billy Blanks, Matthias Hues, Cynthia Rothrock, Michel Qissi, David Kurzhal, Monia Moula, Mike Derudder, Abdel Qissi.",Answer the following question:
What is the rating of The Last Kumite?,The rating of 'The Last Kumite' is 7.081.,Answer the following question:
